StCoFIPS,hw1_min_frequency,hw1_min_duration,hw1_min_intensity,hw1_mean_frequency,hw1_mean_duration,hw1_mean_intensity,hw1_max_frequency,hw1_max_duration,hw1_max_intensity,hw3_min_frequency,hw3_min_duration,hw3_min_intensity,hw3_mean_frequency,hw3_mean_duration,hw3_mean_intensity,hw3_max_frequency,hw3_max_duration,hw3_max_intensity,hw5_min_frequency,hw5_min_duration,hw5_min_intensity,hw5_mean_frequency,hw5_mean_duration,hw5_mean_intensity,hw5_max_frequency,hw5_max_duration,hw5_max_intensity
20011,83,1.9397590361445782,23.641413654618475,71,2.2816901408450705,27.585386317907446,100,1.61,33.456266666666664,18,4.277777777777778,23.742074074074075,24,4.333333333333333,27.77760119047619,13,4,33.57628205128205,5,6.6,23.863466666666667,8,6.5,27.856449404761904,4,5.25,33.957499999999996
20013,84,1.9523809523809523,22.980535256410256,70,2.3142857142857145,26.909601700680273,107,1.5046728971962617,32.24114485981308,15,5.066666666666666,23.057664102564104,20,4.85,27.17610595238095,13,3.769230769230769,32.433653846153845,5,8,23.012658974358974,8,6.875,27.127973214285714,3,5.333333333333333,32.06777777777778
20015,89,1.8202247191011236,22.98718539325843,80,2.05,26.743740972222223,117,1.3846153846153846,32.20496235246235,21,3.8095238095238093,23.03045238095238,16,4.6875,26.79776736111111,8,3.875,32.37194940476191,4,5.75,23.220083333333335,4,8.25,26.914194444444444,2,6,32.175714285714285
20017,84,1.9285714285714286,22.797900793650793,74,2.2027027027027026,26.7463490990991,113,1.4336283185840708,32.28977286135693,21,3.9523809523809526,22.903507936507935,19,4.684210526315789,26.849991228070177,11,3.3636363636363638,32.339030303030306,6,5.166666666666667,23.12338888888889,4,10,26.8335,2,5,32.428
20019,88,1.8295454545454546,23.574934343434343,77,2.090909090909091,27.410392393320965,108,1.5092592592592593,33.03545987654321,20,3.9,23.61046111111111,23,4.217391304347826,27.48261801242236,13,3.5384615384615383,32.94574358974359,3,6.333333333333333,23.73585185185185,8,6.125,27.558464285714287,3,5.333333333333333,32.958222222222226
20021,74,2.189189189189189,23.600728120978122,71,2.2816901408450705,27.69807310529846,108,1.5277777777777777,33.741692901234565,20,4.9,23.71719404761905,18,4.833333333333333,27.87128835978836,15,3.4,33.88518888888889,7,7.571428571428571,23.78543537414966,9,6.333333333333333,27.948873015873016,1,5,34.692
20023,97,1.6597938144329898,19.624957781050565,84,1.9285714285714286,23.83829761904762,124,1.2983870967741935,30.3008938172043,18,3.611111111111111,19.746161375661377,20,3.95,23.99535,9,3.2222222222222223,30.700648148148147,2,6,19.811285714285717,6,5.166666666666667,23.924222222222223,0,NA,NA
20025,92,1.7934782608695652,21.499270531400967,74,2.175675675675676,25.44146492921493,123,1.3089430894308942,31.14479674796748,17,4,21.719875816993465,20,4.3,25.648170238095236,7,3.7142857142857144,31.236428571428572,3,6.666666666666667,21.69374074074074,7,6.142857142857143,25.67108163265306,1,5,30.83
20027,98,1.683673469387755,22.979419825072885,82,2,26.84114430894309,125,1.304,32.422929333333336,16,3.8125,23.074571428571428,17,4.588235294117647,26.949343137254903,8,3.5,32.61202083333333,3,6,23.163825396825395,7,6.571428571428571,26.929238095238095,1,5,31.842
20029,102,1.588235294117647,22.701355042016807,90,1.8111111111111111,26.609819444444444,128,1.2578125,32.32637630208333,15,3.6666666666666665,22.679547619047618,16,4.3125,26.761484375,6,3.5,32.125194444444446,3,5.666666666666667,22.86857142857143,6,6,26.771597222222223,1,5,31.651999999999997
20031,86,1.8953488372093024,23.141118217054263,71,2.267605633802817,27.07950704225352,107,1.514018691588785,32.541501780151314,19,4.157894736842105,23.284008771929823,23,4.130434782608695,27.232391304347825,13,4.076923076923077,32.710822344322345,7,5.285714285714286,23.38004761904762,8,5.75,27.347916666666666,4,6,32.92621428571429
20033,96,1.71875,21.908053819444444,78,2.1025641025641026,25.79322507122507,129,1.248062015503876,31.417118863049097,20,3.7,22.096408333333333,20,4.4,25.98057777777778,6,3.6666666666666665,31.36472222222222,3,5.333333333333333,22.051333333333332,8,6.125,26.113423611111113,1,6,31.71333333333333
20035,84,1.9642857142857142,23.297406746031747,73,2.2054794520547945,27.067500761035006,113,1.4336283185840708,32.52351032448377,23,3.9130434782608696,23.376181159420288,22,4.2727272727272725,27.126934343434343,10,3.5,32.750166666666665,6,5.166666666666667,23.47383333333333,6,6.333333333333333,27.218759259259258,1,6,32.54333333333334
20037,86,1.9186046511627908,23.58188197171046,69,2.3333333333333335,27.591627214170693,103,1.5922330097087378,33.532273462783174,15,4.8,23.748123304473303,22,4.545454545454546,27.715103535353535,13,3.8461538461538463,33.588397435897434,5,7.4,23.835869913419913,8,6.625,27.80476388888889,2,6.5,34.144999999999996
20039,105,1.5523809523809524,20.697187301587302,88,1.8636363636363635,24.94019805194805,131,1.2366412213740459,31.051297709923663,13,4,20.904589743589742,15,4.466666666666667,25.08049523809524,4,3.25,31.3675,3,6.333333333333333,20.856,4,6.75,25.056857142857144,0,NA,NA
